Track,Feature,Value
"Something Just Like This",Danceability,0.617
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Danceability,0.893
"lovely (with Khalid)",Danceability,0.351
"Eastside (with Halsey & Khalid)",Danceability,0.632
"Cold Heart - PNAU Remix",Danceability,0.795
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"The Middle",Danceability,0.753
Unforgettable,Danceability,0.349
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
Closer,Danceability,0.547
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
Unforgettable,Danceability,0.286
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"The Middle",Danceability,0.643
"El Ultimo Adiós - Varios Artistas Version",Danceability,0.276
"Cold Heart - PNAU Remix",Danceability,0.795
"The Middle",Danceability,0.753
Closer,Danceability,0.398
"The Middle",Danceability,0.753
"Can't Hold Us (feat. Ray Dalton)",Danceability,0.633
Closer,Danceability,0.711
Happier,Danceability,0.522
"One Kiss (with Dua Lipa)",Danceability,0.791
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Danceability,0.893
Unforgettable,Danceability,0.726
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Danceability,0.893
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Danceability,0.893
"Eastside (with Halsey & Khalid)",Danceability,0.632
Shallow,Danceability,0.572
"Lean On",Danceability,0.723
"Can't Hold Us (feat. Ray Dalton)",Danceability,0.633
"Enemy (with JID) - from the series Arcane League of Legends",Danceability,0.728
"STAY (with Justin Bieber)",Danceability,0.591
"Peaches (feat. Daniel Caesar & Giveon)",Danceability,0.677
Shallow,Danceability,0.572
"Can't Hold Us (feat. Ray Dalton)",Danceability,0.633
"Lean On",Danceability,0.723
Happier,Danceability,0.687
Closer,Danceability,0.748
"Eastside (with Halsey & Khalid)",Danceability,0.632
"Something Just Like This",Danceability,0.617
Closer,Danceability,0.748
Unforgettable,Danceability,0.661
"Lean On",Danceability,0.723
"Peaches (feat. Daniel Caesar & Giveon)",Danceability,0.677
"Roses - Imanbek Remix",Danceability,0.769
Señorita,Danceability,0.759
"Enemy (with JID) - from the series Arcane League of Legends",Danceability,0.728
"Sunflower - Spider-Man: Into the Spider-Verse",Danceability,0.755
Unforgettable,Danceability,0.726
"Sunflower - Spider-Man: Into the Spider-Verse",Danceability,0.755
"One Kiss (with Dua Lipa)",Danceability,0.791
"Cold Heart - PNAU Remix",Danceability,0.795
Happier,Danceability,0.687
Señorita,Danceability,0.759
"Enemy (with JID) - from the series Arcane League of Legends",Danceability,0.728
"Roses - Imanbek Remix",Danceability,0.769
"lovely (with Khalid)",Danceability,0.351
happier,Danceability,0.395
"STAY (with Justin Bieber)",Danceability,0.591
"Peaches (feat. Daniel Caesar & Giveon)",Danceability,0.677
"Enemy (with JID) - from the series Arcane League of Legends",Danceability,0.728
"Something Just Like This",Energy,0.635
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Energy,0.745
"lovely (with Khalid)",Energy,0.296
"Eastside (with Halsey & Khalid)",Energy,0.686
"Cold Heart - PNAU Remix",Energy,0.8
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"The Middle",Energy,0.657
Unforgettable,Energy,0.182
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
Closer,Energy,0.714
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
Unforgettable,Energy,0.288
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"The Middle",Energy,0.849
"El Ultimo Adiós - Varios Artistas Version",Energy,0.572
"Cold Heart - PNAU Remix",Energy,0.8
"The Middle",Energy,0.657
Closer,Energy,0.768
"The Middle",Energy,0.657
"Can't Hold Us (feat. Ray Dalton)",Energy,0.927
Closer,Energy,0.753
Happier,Energy,0.385
"One Kiss (with Dua Lipa)",Energy,0.862
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Energy,0.745
Unforgettable,Energy,0.769
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Energy,0.745
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Energy,0.745
"Eastside (with Halsey & Khalid)",Energy,0.686
Shallow,Energy,0.385
"Lean On",Energy,0.809
"Can't Hold Us (feat. Ray Dalton)",Energy,0.927
"Enemy (with JID) - from the series Arcane League of Legends",Energy,0.783
"STAY (with Justin Bieber)",Energy,0.764
"Peaches (feat. Daniel Caesar & Giveon)",Energy,0.696
Shallow,Energy,0.385
"Can't Hold Us (feat. Ray Dalton)",Energy,0.927
"Lean On",Energy,0.809
Happier,Energy,0.792
Closer,Energy,0.524
"Eastside (with Halsey & Khalid)",Energy,0.686
"Something Just Like This",Energy,0.635
Closer,Energy,0.524
Unforgettable,Energy,0.75
"Lean On",Energy,0.809
"Peaches (feat. Daniel Caesar & Giveon)",Energy,0.696
"Roses - Imanbek Remix",Energy,0.719
Señorita,Energy,0.548
"Enemy (with JID) - from the series Arcane League of Legends",Energy,0.783
"Sunflower - Spider-Man: Into the Spider-Verse",Energy,0.522
Unforgettable,Energy,0.769
"Sunflower - Spider-Man: Into the Spider-Verse",Energy,0.522
"One Kiss (with Dua Lipa)",Energy,0.862
"Cold Heart - PNAU Remix",Energy,0.8
Happier,Energy,0.792
Señorita,Energy,0.548
"Enemy (with JID) - from the series Arcane League of Legends",Energy,0.783
"Roses - Imanbek Remix",Energy,0.719
"lovely (with Khalid)",Energy,0.296
happier,Energy,0.443
"STAY (with Justin Bieber)",Energy,0.764
"Peaches (feat. Daniel Caesar & Giveon)",Energy,0.696
"Enemy (with JID) - from the series Arcane League of Legends",Energy,0.783
"Something Just Like This",Valence,0.446
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Valence,0.872
"lovely (with Khalid)",Valence,0.12
"Eastside (with Halsey & Khalid)",Valence,0.329
"Cold Heart - PNAU Remix",Valence,0.934
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"The Middle",Valence,0.437
Unforgettable,Valence,0.178
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
Closer,Valence,0.541
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
Unforgettable,Valence,0.142
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"The Middle",Valence,0.903
"El Ultimo Adiós - Varios Artistas Version",Valence,0.285
"Cold Heart - PNAU Remix",Valence,0.934
"The Middle",Valence,0.437
Closer,Valence,0.235
"The Middle",Valence,0.437
"Can't Hold Us (feat. Ray Dalton)",Valence,0.88
Closer,Valence,0.588
Happier,Valence,0.236
"One Kiss (with Dua Lipa)",Valence,0.592
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Valence,0.872
Unforgettable,Valence,0.733
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Valence,0.872
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Valence,0.872
"Eastside (with Halsey & Khalid)",Valence,0.329
Shallow,Valence,0.323
"Lean On",Valence,0.274
"Can't Hold Us (feat. Ray Dalton)",Valence,0.88
"Enemy (with JID) - from the series Arcane League of Legends",Valence,0.555
"STAY (with Justin Bieber)",Valence,0.478
"Peaches (feat. Daniel Caesar & Giveon)",Valence,0.464
Shallow,Valence,0.323
"Can't Hold Us (feat. Ray Dalton)",Valence,0.88
"Lean On",Valence,0.274
Happier,Valence,0.671
Closer,Valence,0.661
"Eastside (with Halsey & Khalid)",Valence,0.329
"Something Just Like This",Valence,0.446
Closer,Valence,0.661
Unforgettable,Valence,0.828
"Lean On",Valence,0.274
"Peaches (feat. Daniel Caesar & Giveon)",Valence,0.464
"Roses - Imanbek Remix",Valence,0.863
Señorita,Valence,0.749
"Enemy (with JID) - from the series Arcane League of Legends",Valence,0.555
"Sunflower - Spider-Man: Into the Spider-Verse",Valence,0.925
Unforgettable,Valence,0.733
"Sunflower - Spider-Man: Into the Spider-Verse",Valence,0.925
"One Kiss (with Dua Lipa)",Valence,0.592
"Cold Heart - PNAU Remix",Valence,0.934
Happier,Valence,0.671
Señorita,Valence,0.749
"Enemy (with JID) - from the series Arcane League of Legends",Valence,0.555
"Roses - Imanbek Remix",Valence,0.863
"lovely (with Khalid)",Valence,0.12
happier,Valence,0.338
"STAY (with Justin Bieber)",Valence,0.478
"Peaches (feat. Daniel Caesar & Giveon)",Valence,0.464
"Enemy (with JID) - from the series Arcane League of Legends",Valence,0.555
"Something Just Like This",Acousticness,0.0498
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
"lovely (with Khalid)",Acousticness,0.934
"Eastside (with Halsey & Khalid)",Acousticness,0.549
"Cold Heart - PNAU Remix",Acousticness,0.0354
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"The Middle",Acousticness,0.171
Unforgettable,Acousticness,0.92
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
Closer,Acousticness,0.000242
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
Unforgettable,Acousticness,0.85
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"The Middle",Acousticness,0.0371
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"Cold Heart - PNAU Remix",Acousticness,0.0354
"The Middle",Acousticness,0.171
Closer,Acousticness,0.469
"The Middle",Acousticness,0.171
"Can't Hold Us (feat. Ray Dalton)",Acousticness,0.0267
Closer,Acousticness,0.028
Happier,Acousticness,0.536
"One Kiss (with Dua Lipa)",Acousticness,0.037
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
Unforgettable,Acousticness,0.0293
