Track,Feature,Value
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
"Eastside (with Halsey & Khalid)",Acousticness,0.549
Shallow,Acousticness,0.371
"Lean On",Acousticness,0.00346
"Can't Hold Us (feat. Ray Dalton)",Acousticness,0.0267
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"STAY (with Justin Bieber)",Acousticness,0.0383
"Peaches (feat. Daniel Caesar & Giveon)",Acousticness,0.321
Shallow,Acousticness,0.371
"Can't Hold Us (feat. Ray Dalton)",Acousticness,0.0267
"Lean On",Acousticness,0.00346
Happier,Acousticness,0.191
Closer,Acousticness,0.414
"Eastside (with Halsey & Khalid)",Acousticness,0.549
"Something Just Like This",Acousticness,0.0498
Closer,Acousticness,0.414
Unforgettable,Acousticness,0.0303
"Lean On",Acousticness,0.00346
"Peaches (feat. Daniel Caesar & Giveon)",Acousticness,0.321
"Roses - Imanbek Remix",Acousticness,0.0143
Señorita,Acousticness,0.0392
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"Sunflower - Spider-Man: Into the Spider-Verse",Acousticness,0.533
Unforgettable,Acousticness,0.0293
"Sunflower - Spider-Man: Into the Spider-Verse",Acousticness,0.533
"One Kiss (with Dua Lipa)",Acousticness,0.037
"Cold Heart - PNAU Remix",Acousticness,0.0354
Happier,Acousticness,0.191
Señorita,Acousticness,0.0392
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"Roses - Imanbek Remix",Acousticness,0.0143
"lovely (with Khalid)",Acousticness,0.934
happier,Acousticness,0.765
"STAY (with Justin Bieber)",Acousticness,0.0383
"Peaches (feat. Daniel Caesar & Giveon)",Acousticness,0.321
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"Something Just Like This",Speechiness,0.0317
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Speechiness,0.0571
"lovely (with Khalid)",Speechiness,0.0333
"Eastside (with Halsey & Khalid)",Speechiness,0.243
"Cold Heart - PNAU Remix",Speechiness,0.0309
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"The Middle",Speechiness,0.0449
Unforgettable,Speechiness,0.031
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
Closer,Speechiness,0.044
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
Unforgettable,Speechiness,0.028
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"The Middle",Speechiness,0.0526
"El Ultimo Adiós - Varios Artistas Version",Speechiness,0.0377
"Cold Heart - PNAU Remix",Speechiness,0.0309
"The Middle",Speechiness,0.0449
Closer,Speechiness,0.0392
"The Middle",Speechiness,0.0449
"Can't Hold Us (feat. Ray Dalton)",Speechiness,0.0839
Closer,Speechiness,0.0766
Happier,Speechiness,0.0288
"One Kiss (with Dua Lipa)",Speechiness,0.11
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Speechiness,0.0571
Unforgettable,Speechiness,0.123
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Speechiness,0.0571
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Speechiness,0.0571
"Eastside (with Halsey & Khalid)",Speechiness,0.243
Shallow,Speechiness,0.0308
"Lean On",Speechiness,0.0625
"Can't Hold Us (feat. Ray Dalton)",Speechiness,0.0839
"Enemy (with JID) - from the series Arcane League of Legends",Speechiness,0.266
"STAY (with Justin Bieber)",Speechiness,0.0483
"Peaches (feat. Daniel Caesar & Giveon)",Speechiness,0.119
Shallow,Speechiness,0.0308
"Can't Hold Us (feat. Ray Dalton)",Speechiness,0.0839
"Lean On",Speechiness,0.0625
Happier,Speechiness,0.0452
Closer,Speechiness,0.0338
"Eastside (with Halsey & Khalid)",Speechiness,0.243
"Something Just Like This",Speechiness,0.0317
Closer,Speechiness,0.0338
Unforgettable,Speechiness,0.0314
"Lean On",Speechiness,0.0625
"Peaches (feat. Daniel Caesar & Giveon)",Speechiness,0.119
"Roses - Imanbek Remix",Speechiness,0.0474
Señorita,Speechiness,0.029
"Enemy (with JID) - from the series Arcane League of Legends",Speechiness,0.266
"Sunflower - Spider-Man: Into the Spider-Verse",Speechiness,0.0575
Unforgettable,Speechiness,0.123
"Sunflower - Spider-Man: Into the Spider-Verse",Speechiness,0.0575
"One Kiss (with Dua Lipa)",Speechiness,0.11
"Cold Heart - PNAU Remix",Speechiness,0.0309
Happier,Speechiness,0.0452
Señorita,Speechiness,0.029
"Enemy (with JID) - from the series Arcane League of Legends",Speechiness,0.266
"Roses - Imanbek Remix",Speechiness,0.0474
"lovely (with Khalid)",Speechiness,0.0333
happier,Speechiness,0.133
"STAY (with Justin Bieber)",Speechiness,0.0483
"Peaches (feat. Daniel Caesar & Giveon)",Speechiness,0.119
"Enemy (with JID) - from the series Arcane League of Legends",Speechiness,0.266
"Something Just Like This",Instrumentalness,0.0000144
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Instrumentalness,0
"lovely (with Khalid)",Instrumentalness,0
"Eastside (with Halsey & Khalid)",Instrumentalness,0
"Cold Heart - PNAU Remix",Instrumentalness,0.0000725
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"The Middle",Instrumentalness,0
Unforgettable,Instrumentalness,0.0152
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
Closer,Instrumentalness,0.636
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
Unforgettable,Instrumentalness,0.000138
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"The Middle",Instrumentalness,0
"El Ultimo Adiós - Varios Artistas Version",Instrumentalness,0
"Cold Heart - PNAU Remix",Instrumentalness,0.0000725
"The Middle",Instrumentalness,0
Closer,Instrumentalness,0.0000202
"The Middle",Instrumentalness,0
"Can't Hold Us (feat. Ray Dalton)",Instrumentalness,0
Closer,Instrumentalness,0.0000296
Happier,Instrumentalness,0
"One Kiss (with Dua Lipa)",Instrumentalness,0.0000219
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Instrumentalness,0
Unforgettable,Instrumentalness,0.0101
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Instrumentalness,0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Instrumentalness,0
"Eastside (with Halsey & Khalid)",Instrumentalness,0
Shallow,Instrumentalness,0
"Lean On",Instrumentalness,0.00123
"Can't Hold Us (feat. Ray Dalton)",Instrumentalness,0
"Enemy (with JID) - from the series Arcane League of Legends",Instrumentalness,0
"STAY (with Justin Bieber)",Instrumentalness,0
"Peaches (feat. Daniel Caesar & Giveon)",Instrumentalness,0
Shallow,Instrumentalness,0
"Can't Hold Us (feat. Ray Dalton)",Instrumentalness,0
"Lean On",Instrumentalness,0.00123
Happier,Instrumentalness,0
Closer,Instrumentalness,0
"Eastside (with Halsey & Khalid)",Instrumentalness,0
"Something Just Like This",Instrumentalness,0.0000144
Closer,Instrumentalness,0
Unforgettable,Instrumentalness,0.000132
"Lean On",Instrumentalness,0.00123
"Peaches (feat. Daniel Caesar & Giveon)",Instrumentalness,0
"Roses - Imanbek Remix",Instrumentalness,0.00777
Señorita,Instrumentalness,0
"Enemy (with JID) - from the series Arcane League of Legends",Instrumentalness,0
"Sunflower - Spider-Man: Into the Spider-Verse",Instrumentalness,0
Unforgettable,Instrumentalness,0.0101
"Sunflower - Spider-Man: Into the Spider-Verse",Instrumentalness,0
"One Kiss (with Dua Lipa)",Instrumentalness,0.0000219
"Cold Heart - PNAU Remix",Instrumentalness,0.0000725
Happier,Instrumentalness,0
Señorita,Instrumentalness,0
"Enemy (with JID) - from the series Arcane League of Legends",Instrumentalness,0
"Roses - Imanbek Remix",Instrumentalness,0.00777
"lovely (with Khalid)",Instrumentalness,0
happier,Instrumentalness,0.00000967
"STAY (with Justin Bieber)",Instrumentalness,0
"Peaches (feat. Daniel Caesar & Giveon)",Instrumentalness,0
"Enemy (with JID) - from the series Arcane League of Legends",Instrumentalness,0
"Something Just Like This",Liveness,0.164
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Liveness,0.0943
"lovely (with Khalid)",Liveness,0.095
"Eastside (with Halsey & Khalid)",Liveness,0.2
"Cold Heart - PNAU Remix",Liveness,0.0915
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"The Middle",Liveness,0.112
Unforgettable,Liveness,0.143
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
Closer,Liveness,0.122
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
Unforgettable,Liveness,0.0798
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"The Middle",Liveness,0.058
"El Ultimo Adiós - Varios Artistas Version",Liveness,0.2
"Cold Heart - PNAU Remix",Liveness,0.0915
"The Middle",Liveness,0.112
Closer,Liveness,0.106
"The Middle",Liveness,0.112
"Can't Hold Us (feat. Ray Dalton)",Liveness,0.0986
Closer,Liveness,0.152
Happier,Liveness,0.135
"One Kiss (with Dua Lipa)",Liveness,0.0814
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Liveness,0.0943
Unforgettable,Liveness,0.104
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Liveness,0.0943
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Liveness,0.0943
"Eastside (with Halsey & Khalid)",Liveness,0.2
Shallow,Liveness,0.231
"Lean On",Liveness,0.565
"Can't Hold Us (feat. Ray Dalton)",Liveness,0.0986
"Enemy (with JID) - from the series Arcane League of Legends",Liveness,0.434
"STAY (with Justin Bieber)",Liveness,0.103
"Peaches (feat. Daniel Caesar & Giveon)",Liveness,0.42
Shallow,Liveness,0.231
"Can't Hold Us (feat. Ray Dalton)",Liveness,0.0986
"Lean On",Liveness,0.565
Happier,Liveness,0.167
Closer,Liveness,0.111
"Eastside (with Halsey & Khalid)",Liveness,0.2
"Something Just Like This",Liveness,0.164
Closer,Liveness,0.111
Unforgettable,Liveness,0.0849
"Lean On",Liveness,0.565
"Peaches (feat. Daniel Caesar & Giveon)",Liveness,0.42
"Roses - Imanbek Remix",Liveness,0.359
Señorita,Liveness,0.0828
"Enemy (with JID) - from the series Arcane League of Legends",Liveness,0.434
"Sunflower - Spider-Man: Into the Spider-Verse",Liveness,0.0685
Unforgettable,Liveness,0.104
"Sunflower - Spider-Man: Into the Spider-Verse",Liveness,0.0685
"One Kiss (with Dua Lipa)",Liveness,0.0814
"Cold Heart - PNAU Remix",Liveness,0.0915
Happier,Liveness,0.167
Señorita,Liveness,0.0828
"Enemy (with JID) - from the series Arcane League of Legends",Liveness,0.434
"Roses - Imanbek Remix",Liveness,0.359
"lovely (with Khalid)",Liveness,0.095
happier,Liveness,0.0839
"STAY (with Justin Bieber)",Liveness,0.103
"Peaches (feat. Daniel Caesar & Giveon)",Liveness,0.42
"Enemy (with JID) - from the series Arcane League of Legends",Liveness,0.434
